Name,Platform,Year,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,82,39,8.6,132
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,88,29,8.5,135
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,,,,
Just Dance 4,Wii,2012,Misc,Ubisoft,74,10,7.3,28
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,93,90,7.7,2739
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,92,97,8.3,3712
Zumba Fitness,Wii,2010,Sports,505 Games,,,tbd,
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,94,44,8.4,993
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,96,105,8.8,5187
FIFA 12,PS3,2011,Sports,Electronic Arts,,,,
Big Brain Academy,DS,2005,Misc,Nintendo,74,45,7.4,27
The Legend of Zelda,NES,1986,Action,Nintendo,,,,
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,95,73,8.8,2456
FIFA 14,PS3,2013,Sports,Electronic Arts,86,37,4.3,576
Assassin's Creed III,PS3,2012,Action,Ubisoft,85,41,6.9,1307
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,87,77,8.6,368
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,97,68,8.6,1283
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,92,16,6.4,2527
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,76,28,9,222
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85,46,8.8,597
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,,,,
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,83,94,7.1,1163
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,95,96,9,2316
Super Mario Sunshine,GC,2002,Platform,Nintendo,92,61,8.6,439
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,,,,
World of Warcraft,PC,2004,Role-Playing,Activision,93,57,7.3,2182
Driver,PS,1999,Action,GT Interactive,87,22,8.1,78
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,91,96,7.8,1504
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,73,51,7.4,95
Gears of War,X360,2006,Shooter,Microsoft Game Studios,94,88,8.3,2295
FIFA 15,PS4,2014,Sports,Electronic Arts,82,47,5.7,988
